"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"501
Radiographic Anat-Dog&Cat","001","","84","3.620","52.4","21.4","21.4","3.6",".",".",".",".",".",".",".",".","1.2",".",".","."
"542
Veterinary Ophthalmology","001","","73","3.438","20.5","54.8","16.4","8.2",".",".",".",".",".",".",".",".",".",".",".","."
"630
Small Animal Surgery","001","","73","2.986","4.1","13.7","63.0","13.7","5.5",".",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","72","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"634
Small Animal Anesthesia Lab","001","","73","",".",".",".",".",".",".",".","98.6",".",".",".","1.4",".",".",".","."
"642
Large Animal Surgery","001","","41","4.000","14.6",".",".",".",".",".",".","85.4",".",".",".",".",".",".",".","."
"644","001","","23","4.000","13.0",".",".",".",".",".",".","87.0",".",".",".",".",".",".",".","."
"644","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Orthopedic Surgery","Course Total","","24","4.000","12.5",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","."
"645
Small Animal Genrl Surgery","001","","51","4.000","58.8",".",".",".",".",".",".","41.2",".",".",".",".",".",".",".","."
"646
Veterinary Anesthesiology","001","","32","4.000","34.4",".",".",".",".",".",".","65.6",".",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","37","4.000","21.6",".",".",".",".",".",".","78.4",".",".",".",".",".",".",".","."
"675","001","","10","3.000","20.0",".",".",".",".","10.0",".","70.0",".",".",".",".",".",".",".","."
"675","002","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"675","008","","44","4.000","4.5",".",".",".",".",".",".","95.5",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","62","3.625","17.7",".",".",".",".","1.6",".","80.6",".",".",".",".",".",".",".","."
"699","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","25","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"745
Small Animal Orthopedics","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"748
Dentistry & Oral Surg Rotation","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
