"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"155
Intro to Biology of Aging","001","","13","3.292","38.5",".","38.5","7.7","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"380
Contemp Populatn Probs-Honors","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"502
Air Pollution&Human Health","001","","12","3.542","50.0","8.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"621
Intro-Nutritnl Epidemiology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"650","002","","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".",".",".","4.2","."
"650","023","","8","3.917","62.5","12.5",".",".",".",".",".","12.5",".",".",".",".","12.5",".",".","."
"650","024","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"650","027","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"650","029","","8","3.719","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","63","3.842","52.4","14.3",".",".",".",".",".","30.2",".",".",".",".","1.6",".","1.6","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"701
Master's Research Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"718
International Health Systems","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"719
Smr-Contemp Iss:Health Care","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"795
Determinants-Population Health","001","","34","3.613","44.1","23.5","23.5",".",".",".",".",".",".",".",".",".","5.9",".","2.9","."
"797
Strategy&Meth-Epidemiology","001","","54","3.611","35.2","51.9","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"802
Epidemiol-Chronic Diseases","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"803
Monitoring Population Health","001","","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"900
Quant Meth-Populatn Health II","001","","12","3.583","58.3",".","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Doctoral Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"911","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"911","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Epidemiol Elect-Div of Hlth","Course Total","","2","***","","","","","","","","","","","","","","","",""
"915","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"915","011","","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundmtls Interntl Hlth-MSC","Course Total","","31","3.871","87.1",".","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"916","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Diseas&Injry Epidem-DivHlth","Course Total","","3","***","","","","","","","","","","","","","","","",""
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
