"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"105","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","","6","3.357","16.7","16.7","50.0",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"411
Psychosoc & Mgmt Aspects-Pharm","001","","132","3.053","15.2","23.5","30.3","17.4","12.9",".",".","0.8",".",".",".",".",".",".",".","."
"510
Marketng&Econ Aspects-Pharm","001","","129","3.612","63.6",".","34.1",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"561
Greek & Roman Med & Phcy","001","","10","3.300","10.0","40.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"622
Prosem:Social & Behav Phcy","001","","10","3.813","50.0","30.0",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"699","012","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Conference-Research Workers","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","10","",".",".",".",".",".",".",".","60.0",".",".",".","40.0",".",".",".","."
"999
Advanced Independent Study","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"S&A PHM
732","Dept. Total","","328","3.348","42.7","11.9","28.0","7.0","6.1",".",".","2.1",".",".",".","1.2","0.6","0.3",".","."
