"PHARMACEUTICAL SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"Drugs and Their Actions","310","001","110","3.332","40.9","16.4","16.4","15.5","7.3","0.9",".","2.7",".",".",".",".",".",".",".","."
"Survey of Pharmacology","401","001","160","3.403","42.5","21.9","23.1","5.0","5.0","1.9","0.6",".",".",".",".",".",".",".",".","."
"Intro-Drug Action&Delivry I","420","001","141","2.752","4.3","21.3","25.5","22.7","24.8","0.7","0.7",".",".",".",".",".",".",".",".","."
"Pharmaceutical Biochemistry","432","001","117","2.923","17.9","12.8","30.8","21.4","13.7","2.6","0.9",".",".",".",".",".",".",".",".","."
"Selected Topics-Pharm Sci","490","001","128","3.652","56.3","21.9","20.3","0.8",".","0.8",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Pharm Sci","491","001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Pharm Sci","492","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","495","001","38","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","495","002","46","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","495","003","43","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Selected Topics-Pharm Sci","","Course Total","127","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmacology I","521","001","145","3.017","13.1","20.7","37.2","14.5","14.5",".",".",".",".",".",".",".",".",".",".","."
"Medicinal Chemistry I","531","001","126","2.591","4.0","5.6","34.1","20.6","34.9",".","0.8",".",".",".",".",".",".",".",".","."
"Drug Delivery Systems","540","001","127","3.295","22.8","33.1","28.3","11.8","3.9",".",".",".",".",".",".",".",".",".",".","."
"Drug Delivery Systems Lab I","541","001","128","3.652","56.3","21.9","20.3","0.8",".","0.8",".",".",".",".",".",".",".",".",".","."
"Lab Techniques-Pharmcol&Toxcol","558","001","9","3.556","55.6","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology III","623","001","132","2.708","9.8","12.1","32.6","15.9","22.7","6.1","0.8",".",".",".",".",".",".",".",".","."
"Toxicology I","625","001","14","3.286","28.6","7.1","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Drug Interactions","635","001","14","3.536","42.9","35.7","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Nonprescription Medications","638","001","37","3.270","21.6","21.6","51.4",".","5.4",".",".",".",".",".",".",".",".",".",".","."
"Phmceut","645","001","117","3.234","19.7","32.5","27.4","14.5","6.0",".",".",".",".",".",".",".",".",".",".","."
"Biotech&Phmacogenomics","","","","","","","","","","","","","","","","","","","",""
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","038","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","125","50","2.990","8.0","18.0","44.0","24.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","68","3.275","30.9","13.2","33.8","17.6","4.4",".",".",".",".",".",".",".",".",".",".","."
"Pharmacokinetics","768","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Pharm Sci","780","001","6","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conference-Research Workers","931","001","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 376 of 391",""
