"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","",""
"PHYSICAL THERAPY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"745
PHY THER","","","","","","","","","","","","","","","","","","",""
"Cardiovasc&Pulmonry Treatmt","523
001","35","3.871","77.1","20.0","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundatns-Phy Ther Practice","527
001","36","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","538
001","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","538
002","19","",".",".",".",".",".",".",".",".",".","94.7",".",".",".",".",".","."
"Smr-Professional Issues I","Course Total","36","",".",".",".",".",".",".",".",".",".","97.2",".",".",".",".",".","."
"Smr-Professional Issues III","540
001","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Chldrn-Motor Cont Dysfunctn","635
001","31","3.806","64.5","32.3","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scientific Inquiry-Phy Ther","640
001","35","3.771","62.9","28.6","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Issues-Rehabilitatn","641
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Research Practicum","642
001","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Internship II","651
001","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Internship III","652
001","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clin Path: Implications for PT","001
665","31","3.419","12.9","58.1","29.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musculoskel Assesmnt&Trtmnt I","676
001","31","3.516","32.3","45.2","16.1","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","799
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"PHY THER
745","Dept. Total","350","3.707","30.6","19.1","6.6","0.6",".",".",".",".",".","42.9",".",".",".",".",".","."
