"EDU","","","","","","","","","","","","","","","","","","",""
"THERAPEUTIC SCI (DEPT-KINES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","24","3.604","50.0","33.3","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","105
001","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","10","3.786","70.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Terminology","148
001","59","3.690","62.7","13.6","20.3",".","1.7",".",".","1.7",".",".",".",".",".",".",".","."
"Neurology","502
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Orthopedics","503
001","17","3.618","52.9","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Therapeutic Use of Activity","524
001","17","3.618","29.4","64.7","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Occupatnl Perfrmnc","530
001","17","3.735","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Occ Ther Pro Practice","001
538","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adp&Cnst Eqp-Peopl/Disbilts","546
001","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631
001","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatn-Phys Disablties I","001
639","17","3.735","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry-Occup,Adaptn,Mntl Hlth","648
001","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Mental Health","649
001","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","662
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","662
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Fieldwork in Mental Health","Course Total","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","664
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","664
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fieldwork-Physical Disabil","Course Total","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Directed Study","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","791
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","791
122","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","3","***","","","","","","","","","","","","","","","",""
"THER SCI
939","Dept. Total","294","3.743","53.4","21.8","8.5","1.0","0.7",".",".","1.4",".","13.3",".",".",".",".",".","."
