"MEDICAL SCIENCES - MED SCH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"","699
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","21","",".",".",".",".",".",".",".","95.2",".",".",".",".",".",".","4.8","."
"Directed Study","Course Total","22","",".",".",".",".",".",".",".","95.5",".",".",".",".",".",".","4.5","."
"Hematology","062
703","159","3.204","18.9","19.5","50.9","5.0","5.7",".",".",".",".",".",".",".",".",".",".","."
"Cardiovascular System","706
044","153","3.464","33.3","32.0","29.4","4.6","0.7",".",".",".",".",".",".",".",".",".",".","."
"Respiratory System","715
001","153","3.513","48.4","11.8","34.6","4.6","0.7",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology I","717
001","159","3.355","28.3","21.4","44.0","5.7","0.6",".",".",".",".",".",".",".",".",".",".","."
"Neoplastic Diseases","721
035","155","3.884","88.4",".","11.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Patient, Doctor & Society I","800
001","148","3.986","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Patient, Doctor & Society 3","806
001","154","3.838","74.0","20.8","3.9","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"MED SC-M
622","Dept. Total","1103","3.535","53.9","15.2","24.8","3.0","1.1",".",".","1.9",".",".",".",".",".",".","0.1","."
