"SENIOR MEDICAL PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","",""
"931
Extramur Elect-Psychiatry","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"934","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"934","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"934","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"934","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"934","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Surgery","Course Total","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"936","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"936","042","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"936","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"936","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"936","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elec-Emergency Med","Course Total","","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
