"SURGERY","","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","","",""
"Plastic Surgery-Marshfield","957","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","961","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","961","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Burn Surgery Clrkshp (CSC)","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","962","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","962","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","962","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","962","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","962","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Critical Care Surgery-CSC","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","963","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","963","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiac Surg Clerkship-CSC","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","964","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","964","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","964","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thoracic Surgery Clerk-CSC","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","967","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","967","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","967","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","967","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Urology Clerkship-CSC","","Course Total","","4","***","","","","","","","","","","","","","","","",""
