"PHYSICIAN ASSISTANT PROGRA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","","",""
"","602
001","","33","3.394","3.0","72.7","24.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
602","","9","3.278",".","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Medicine II","Course Total","","42","3.369","2.4","71.4","23.8","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","603
001","","35","3.243","2.9","48.6","42.9","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"","002
603","","11","3.636","27.3","72.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pediatrics","Course Total","","46","3.337","8.7","54.3","32.6","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","611
001","","37","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","611
002","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clin Prev & Community Prac II","Course Total","","62","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","618
001","","39","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","618
002","","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Professional Seminar III","Course Total","","65","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","621
001","","33","3.970","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
621","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Patient Eval-Prim Care II","Course Total","","45","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","641
001","","33","3.227","3.0","45.5","45.5","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"","641
002","","9","2.944",".","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pharmacology II","Course Total","","42","3.167","2.4","40.5","45.2","11.9",".",".",".",".",".",".",".",".",".",".",".","."
"","648
001","","35","3.243","2.9","48.6","42.9","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"","648
002","","11","3.227","18.2","27.3","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Emergency Medicine","Course Total","","46","3.239","6.5","43.5","41.3","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","651
001","","33","3.470","9.1","75.8","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
651","","9","3.167",".","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnostic Methods II","Course Total","","42","3.405","7.1","66.7","26.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
001","","35","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","660
002","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Skills Laboratory","Course Total","","46","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699
002","","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","22","3.826","68.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","718
001","","32","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","718
002","","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Profess'l Smnr & Capstone II","Course Total","","58","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","729
001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","729
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Phy Asst Preceptor: Surgery","Course Total","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","739
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","739
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Phy Asst Precptrshp: Fam Med","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","749
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","749
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Phy Asst Precptrshp: Int Med","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","759
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 387 of 430",""
