"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","",""
"","100
001","108","2.750","15.7","10.2","27.8","9.3","31.5","1.9","1.9","0.9",".",".",".",".","0.9",".",".","."
"","002
100","92","2.696","20.7","5.4","23.9","7.6","37.0","3.3","2.2",".",".",".",".",".",".",".",".","."
"General Anthropology","Course Total","200","2.725","18.0","8.0","26.0","8.5","34.0","2.5","2.0","0.5",".",".",".",".","0.5",".",".","."
"Archaeology & Prehist World","102
001","116","2.904","12.1","25.9","17.2","31.0","8.6","2.6","1.7",".",".",".",".",".",".","0.9",".","."
"","104
001","364","3.406","28.3","38.5","22.8","6.3","3.8",".",".","0.3",".",".",".",".",".",".",".","."
"","104
002","368","3.418","33.4","34.2","22.0","7.6","1.6",".","1.1",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","Course Total","732","3.412","30.9","36.3","22.4","7.0","2.7",".","0.5","0.1",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","105
001","298","3.172","30.2","27.5","16.1","11.1","6.4","6.0","1.0",".","0.3",".",".",".",".",".",".","1.3"
"Principles of Archaeology","112
001","69","2.897","17.4","14.5","29.0","8.7","27.5","1.4",".","1.4",".",".",".",".",".",".",".","."
"Global Language Issues","211
001","15","3.500","40.0","33.3","6.7","6.7","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","18","3.722","61.1","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","19","3.250","15.8","42.1","15.8","15.8","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300
001","21","3.619","57.1","9.5","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301
001","11","3.318","18.2","45.5","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303
001","9","2.667",".",".","77.8",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","310
001","20","3.368","35.0","35.0","15.0","5.0",".",".","5.0","5.0",".",".",".",".",".",".",".","."
"The Origins of Civilization","322
001","60","3.186","28.3","18.3","36.7","1.7","8.3","5.0",".","1.7",".",".",".",".",".",".",".","."
"","330
001","21","3.672","47.6","33.3","4.8","4.8",".",".",".","4.8",".",".",".",".","4.8",".",".","."
"","330
002","18","3.652","33.3","50.0","5.6",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Topics in Ethnology","Course Total","39","3.663","41.0","41.0","5.1","2.6",".",".",".","2.6",".",".",".",".","7.7",".",".","."
"Intro-Anthropology of Japan","357
001","25","3.973","84.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","12.0","."
"Field Course in Archaeology","370
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolutionary Biology","410
001","29","3.310","34.5","17.2","34.5","3.4","10.3",".",".",".",".",".",".",".",".",".",".","."
"American Indian Folklore","431
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Anthropology by Women","443
001","13","3.500","30.8","46.2","7.7",".","7.7",".",".",".",".",".",".",".","7.7",".",".","."
"","490
001","12","3.956","83.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"","490
002","17","3.500","70.6","5.9","11.8",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","Course Total","29","3.682","75.9","6.9","6.9",".","3.4",".","3.4",".",".",".",".",".",".",".","3.4","."
"Prosem-Biologicl Anthroplgy","601
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
001","6","3.781","50.0","33.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","690
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
690","9","3.717","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Anthropology","Course Total","21","3.815","71.4","14.3","9.5",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Senior Thesis","692
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","696
078","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","698
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
078","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
