"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201
BME Fundamentals & Design","001","","96","3.474","31.3","36.5","27.1","3.1","1.0",".",".",".",".",".",".",".","1.0",".",".","."
"301
Biomed Engineering Design","001","","83","3.652","53.0","30.1","9.6","4.8","1.2",".",".",".",".",".",".",".","1.2",".",".","."
"310
Bioinstrumentation","001","","87","3.299","27.6","28.7","29.9","8.0","4.6",".","1.1",".",".",".",".",".",".",".",".","."
"315
Biomechanics","001","","19","3.313","15.8","31.6","31.6",".","5.3",".",".",".",".",".",".",".","5.3",".","10.5","."
"320
Intro Transport Phenomena","001","","15","2.900",".","13.3","53.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"389
Honors in Research","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","059","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","089","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","096","","8","3.821","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","097","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","099","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","108","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","56","3.943","85.7","12.5",".",".",".",".",".",".",".",".",".",".","1.8",".",".","."
"402
Biomedical Engineering Design","001","","72","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","113","3.371","15.0","53.1","23.9","4.4","2.7",".",".",".",".",".",".",".","0.9",".",".","."
"489","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
"505
Biofluidics","001","","15","2.900","20.0","33.3","13.3","13.3","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"515
Therapeutic Medical Devices","001","","32","3.563","40.6","50.0","6.3",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"520
Stem Cell Bioengineering","001","","23","3.565","39.1","39.1","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"530
Medical Imaging Systems","001","","10","3.350","20.0","30.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 107 of 430",""
