"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","26","3.827","80.8","7.7","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","83","3.494","36.1","48.2","7.2","2.4","3.6","1.2","1.2",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","68","3.544","47.1","27.9","20.6","1.5","1.5",".","1.5",".",".",".",".",".",".",".",".","."
"","401
006","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
007","14","3.842","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
008","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
009","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
010","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
016","12","3.880","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
017","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
018","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
019","8","3.800","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
020","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","114","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
010","30","3.633","60.0","20.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","440
020","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac I:Foundatn-Generalst Prac","Course Total","40","3.688","62.5","22.5","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","441
010","17","3.824","76.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","011
441","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
020","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Prac II: Individls, Fam, Grps","Course Total","39","3.808","74.4","17.9","2.6","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"","442
001","26","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
002","25","3.720","48.0","48.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
003","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
442","41","3.603","56.1","19.5","7.3","7.3","4.9",".",".",".",".",".",".","4.9",".",".",".","."
"Prac III: Generalist-Comm&Orgs","Course Total","117","3.772","61.5","29.1","3.4","2.6","1.7",".",".",".",".",".",".","1.7",".",".",".","."
"Alcohol & Other Drug Abuse","453
001","118","3.620","64.4","13.6","10.2","7.6","1.7","0.8","0.8","0.8",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","77","3.409","27.3","50.6","11.7","5.2","1.3","3.9",".",".",".",".",".",".",".",".",".","."
"Child Welfare","462
001","15","3.667","40.0","53.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Social Work","579
001","9","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Social Policy","606
001","43","3.393","39.5","32.6","16.3","2.3","2.3",".","4.7",".",".",".",".",".","2.3",".",".","."
"GLBT Issues and Social Welfare","639
001","20","3.550","45.0","40.0","5.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","640
001","26","3.731","53.8","42.3",".","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","25","3.860","72.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
010","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
640","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
020","22","3.795","59.1","40.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","Course Total","104","3.803","63.5","34.6","1.0","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work and Delinquency","643
001","21","3.948","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","26","3.900","76.9","19.2",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"","644
030","31","3.534","29.0","41.9","22.6",".",".",".",".",".",".",".",".",".","6.5",".",".","."
"Issues in Dev. Disabilities","Course Total","57","3.704","50.9","31.6","12.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
