"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETH Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","","",""
"133
001
Biology & Society, 1950-Today","64","3.453","28.1","45.3","15.6","10.9",".","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"213
001
Glbl Envir Hlth:Interdis Intro","166","3.262","21.1","17.5","54.8","6.0","0.6","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"509
001
Dev Public Health-America","21","3.762","52.4","47.6",".",".",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"515
001
Public Health Ethics","17","3.706","41.2","58.8",".",".",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"532
001
History of the (American) Body","4","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"558
001
Ethical Issues in Health Care","29","3.552","37.9","37.9","20.7","3.4",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"562
001
Byzantine Med & Pharmacy","2","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"564
001
History Medicine-Latin America","6","3.750","50.0","50.0",".",".",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"565
001
Ethics of Modern Biotechnology","3","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"610
001
Regenerative Medicine Ethics","6","3.833","66.7","33.3",".",".",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"730
002
Ethical Issues in Medicine","10","3.688","30.0","50.0",".",".",".","",".","",".",".","",".","",".",".","",".","","",".",".","20.0","."
"734
001
Grad Studies in Med Ethics","1","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"999
002
Advanced Independent Study","1","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"MED HIST
Dept. Total
452","330","3.420","30.3","30.6","32.4","5.5","0.3","",".","",".","",".","",".",".","",".","",".","",".",".","0.9","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","7","3.429","42.9","14.3","28.6","14.3",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","45","3.422","26.7","35.6","33.3","4.4",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","106","3.288","20.8","26.4","43.4","8.5","0.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","149","3.470","33.6","32.9","29.5","4.0",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","307","3.398","28.3","30.6","34.9","5.9","0.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","3","***","","","","","","","","","","","","","",".","",".","",".","",".",".","33.3","."
"Graduate","6","3.912","83.3","16.7",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".","40.0","."
"Prof Yr 2","6","3.750","33.3","66.7",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","14","3.875","50.0","35.7",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","14.3","."
"Dept. Total","330","3.420","30.3","30.6","32.4","5.5","0.3","",".","",".","",".","",".",".","",".","",".","",".",".","0.9","."
