"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"926","042","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"926","043","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"926","044","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Surgery for the Non-Surgeon","Course Total","","27","3.722","59.3","25.9","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"929","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"929","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Surgery","Course Total","","2","***","","","","","","","","","","","","","","","",""
"940","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adt Orth-Non-Orth Clerk-CSC","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"941","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adult Orth & Fractures-VAH","Course Total","","5","***","","","","","","","","","","","","","","","",""
"944","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"944","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Upper Extrem Ortho-Marshfld","Course Total","","2","***","","","","","","","","","","","","","","","",""
"948","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Otolaryngology Clerk-CSC","Course Total","","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"949
Clin Otolaryng Clerk-LaCros","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"954
Periph Vasculr Clrk-CSC/VAH","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"956","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"956","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"956","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"956","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"956","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"956","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"956","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Plastc&RecnstrSurgClerk-CSC","Course Total","","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"957","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 404 of 430",""
