"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","",""
"MEDICAL SCIENCES - MED SCH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"","699
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"Integrated Hematology System","703
001","179","3.377","26.8","25.7","44.1","2.8","0.6",".",".",".",".",".",".",".",".",".",".","."
"Integ Gastro & Hepatic Systms","707
001","178","3.466","32.6","28.7","38.2","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"Endocrinology&Reproductive Hth","711
001","178","3.326","29.2","24.2","38.8","5.1","1.1",".","1.7",".",".",".",".",".",".",".",".","."
"Integrated Dermatology","724
001","173","",".",".",".",".",".",".",".","98.8",".",".",".",".","0.6",".",".","0.6"
"Integrated Musculoskeletal Sys","728
001","177","3.367","27.1","26.0","40.1","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Neurosciences","729
001","180","3.372","30.0","26.1","35.0","6.1","2.8",".",".",".",".",".",".",".",".",".",".","."
"Medical  Neuroanatomy","731
001","173","",".",".",".",".",".",".",".","98.8",".",".",".",".",".",".",".","1.2"
"Complementry Med-Clin Pract","733
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Med Spanish for Hlth Sci Stdts","735
001","43","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Overview of Rural Health","740
001","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Foundations of Medicine 3","757
001","178","3.348","27.0","24.2","43.3","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Medicine 4","759
001","177","3.398","35.6","14.1","45.2","4.5","0.6",".",".",".",".",".",".",".",".",".",".","."
"Patient, Doctor & Society 2","801
001","173","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Patient, Doctor & Society 4","807
001","180","3.889","80.0","18.3","1.1","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"MED SC-M
622","Dept. Total","2025","3.453","25.6","16.5","25.1","2.6","0.7",".","0.1","26.6",".","2.6",".",".","0.0",".",".","0.1"
