"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"646
Cancer Genetics","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","097","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","291","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","296","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","39","3.978","97.4",".","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"714
Practicum-Genetic Counselng","005","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"737
Contemp Pro Iss-Gen Cnslng","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742
Human Embryology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"745
Smr: Med Genetic Counsel Rsrch","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Spec Hlth Nd","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"812","061","","26","3.380","34.6","11.5","42.3","7.7",".",".",".",".",".",".",".",".","3.8",".",".","."
"812","062","","21","3.405","38.1","19.0","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","17","3.559","47.1","17.6","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","64","3.437","39.1","15.6","35.9","7.8",".",".",".",".",".",".",".",".","1.6",".",".","."
"814
Adv Pract-Genetic Counselng","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","4","***","","","","","","","","","","","","","","","",""
"920","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Subinternship-CSC","Course Total","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adolescent Med Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"953","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Genetics Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"956","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 381 of 430",""
