"TERM : 1154","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2014-2015","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","","","",""
"","MOLECULAR & ENVIRONMENTA Section","#","Ave","A","AB","B","BC","","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"362","M&ENVTOX","","","","","","","","","","","","","","","","","","","","","",""
"362","M&ENVTOX","97
Dept. Total","3.681","17.5","3.1","2.1","",".","1.0","1.0","",".","56.7","",".",".","",".","10.3","1.0",".","7.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"362","M&ENVTOX","","","","","","","","","","","","","","","","","","","","","",""
"","Senior","10","3.523","70.0","10.0",".","",".","10.0","10.0","",".",".","",".",".","",".",".",".",".",".","."
