"COMMUNICATION SCI & DISORD Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"","110","001","68","3.545","32.4","51.5","8.8","2.9","2.9",".",".","1.5",".",".",".",".",".",".",".","."
"","110","002","17","3.647","41.2","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Communicative Dis","","Course Total","85","3.565","34.1","50.6","9.4","2.4","2.4",".",".","1.2",".",".",".",".",".",".",".","."
"Speech Science","201","001","65","3.392","44.6","24.6","12.3","10.8","3.1","4.6",".",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","55","3.336","32.7","27.3","25.5","10.9","1.8",".","1.8",".",".",".",".",".",".",".",".","."
"Neural Base Comm","210","001","93","3.554","64.5","9.7","14.0","6.5",".","5.4",".",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","69","3.662","59.4","13.0","24.6","1.4",".",".",".","1.4",".",".",".",".",".",".",".","."
"Voice, Craniofac & Fluency Dis","318","001","87","3.115","8.0","34.5","35.6","16.1","5.7",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Audiology","320","001","101","3.911","84.2","13.9","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","53","3.453","18.9","58.5","18.9","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation","425","001","107","3.953","92.5","5.6","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","36","3.806","86.1","2.8","5.6","2.8",".","2.8",".",".",".",".",".",".",".",".",".","."
"","682","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","024","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","060","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","11","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","699","046","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","060","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","49","3.937","85.7","6.1","6.1","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Cogntv-Com Dis in Adults","704","001","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Speech Disord/Communictn","705","001","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt&Assessmt-Voice Disorder","706","001","33","3.879","75.8","24.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Probs-Schl Age Chldrn","709","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Speech Pathology","713","001","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Schl Mthd,Procedr:Sp/Lang Path","714","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone: Com Dis in Adults","752","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
