"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"","812
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
002","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
003","","11","3.318","9.1","45.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
004","","10","3.300","20.0","20.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
812","","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
812","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
812","","6","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","812
008","","8","3.500",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","75.0","."
"","812
009","","7","3.750","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","71.4","."
"Third Year Anesthesia","Course Total","","71","3.400","21.1","26.8","35.2","1.4",".",".",".",".",".",".",".",".",".",".","15.5","."
"","919
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
007","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","919
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","14","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"","930
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","930
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","930
005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
007","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
009","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
010","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Cardiac Life Supprt (ACLS)","Course Total","","56","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
