"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"","741
006","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","37","3.973","94.6","5.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
005","83","3.675","59.0","21.7","14.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","760
006","93","3.790","69.9","18.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
105","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","179","3.738","65.4","19.6","12.8","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","764
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","764
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","2","***","","","","","","","","","","","","","","","",""
"Grad Sem Hlth-System Pharmacy","962
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
028","7","3.800","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"PHM PRAC
728","Dept. Total","1740","3.617","58.9","19.0","11.4","4.9","2.9",".","0.3","1.6",".","0.9",".",".","0.1",".",".","."
