"EMERGENCY MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"330
EMER MED","","","","","","","","","","","","","","","","","","","",""
"959","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"959","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"959","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"EM Regional","Course Total","","10","3.667","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"960","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"960","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"960","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"EM Elective - Basic","Course Total","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"961","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"961","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"961","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"961","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"EM Elective - Advanced","Course Total","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"EMER MED
330","Dept. Total","","31","3.773","51.6","48.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
