"BIOSTATISTICS & MED INFORM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","",""
"Intro to Clinical Trials I","542
001","","15","3.615","26.7","53.3","6.7",".",".",".",".",".",".",".",".",".","6.7",".","6.7","."
"Regression Methods-Pop Health","552
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Statistcl Mthds-Epidemiolgy","642
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Survival Analysis Thry & Mthds","741
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Research Informatics","773
001","","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Bioinformatics","776
001","","6","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","826
003","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","826
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Biostats & Biomed Informatics","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computn&Informatcs in Biol&Med","915
001","","8","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"B M I
210","Dept. Total","","74","3.715","63.5","14.9","10.8",".",".",".",".","8.1",".",".",".",".","1.4",".","1.4","."
