"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","113","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","116","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","141","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","144","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","148","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","149","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","152","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","153","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","158","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","172","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","175","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","176","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","178","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","179","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","45","4.000","95.6",".",".",".",".",".",".",".",".",".",".",".","2.2",".","2.2","."
"812
Third Year Surgery","081","","31","3.467","35.5","19.4","41.9",".",".",".",".",".",".",".",".",".",".",".","3.2","."
"910","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","3","***","","","","","","","","","","","","","","","",""
"919","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","21","3.843","66.7","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-Meriter","Course Total","","11","3.933","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"925
Gen Surg Clerk-Marshfield","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"926","041","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 403 of 430",""
