"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","20","3.951","85.0","10.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"703
Hlth Care & Public Policy-US","001","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"719","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"719","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Field Stdy-Clinic Nsg","Course Total","","4","***","","","","","","","","","","","","","","","",""
"727","020","","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"727","040","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"727","060","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations APN Clin Pract II","Course Total","","36","3.806","63.9","33.3","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","010","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","020","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"729","040","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"729","061","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"729","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"APN Clin Appl & Role Dev II","Course Total","","35","4.000","97.1",".",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"746","001","","11","3.864","90.9",".",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"746","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","Course Total","","12","3.875","91.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"761
Health Prgm Planning, Eval, QI","001","","38","3.895","81.6","15.8","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"785
Found of Curr Dev&Eval-Nurs Ed","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"786
Found of Teach&Learn in Nursng","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"787","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"787","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"787","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Nursing Education Practicum","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
