"SURGICAL SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","",""
"Veterinary Ophthalmology","542","001","","79","3.703","63.3","20.3","12.7","1.3","2.5",".",".",".",".",".",".",".",".",".",".","."
"Surgery Fundamentals","544","001","","84","3.780","66.7","22.6","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Anesthesiology","547","001","","84","3.423","33.3","28.6","29.8","6.0","2.4",".",".",".",".",".",".",".",".",".",".","."
"Large Animal Surgery","631","001","","79","3.076","17.7","12.7","50.6","5.1","13.9",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632","001","","79","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634","001","","79","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","642","001","","36","4.000","13.9",".",".",".",".",".",".","86.1",".",".",".",".",".",".",".","."
"","642","002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Large Animal Surgery","","Course Total","","43","4.000","11.6",".",".",".",".",".",".","88.4",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644","001","","19","4.000","5.3",".",".",".",".",".",".","94.7",".",".",".",".",".",".",".","."
"","645","001","","41","4.000","34.1",".",".",".",".",".",".","65.9",".",".",".",".",".",".",".","."
"","645","002","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","","Course Total","","50","4.000","44.0",".",".",".",".",".",".","56.0",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology","646","001","","33","4.000","51.5",".",".",".",".",".",".","48.5",".",".",".",".",".",".",".","."
"Radiology Clinics","647","001","","22","4.000","9.1",".",".",".",".",".",".","90.9",".",".",".",".",".",".",".","."
"","675","001","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","675","004","","59","4.000","66.1",".",".",".",".",".",".","33.9",".",".",".",".",".",".",".","."
"","675","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","675","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","675","010","","31","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","112","4.000","51.8",".",".",".",".",".",".","48.2",".",".",".",".",".",".",".","."
"Special Species Health","676","001","","79","3.595","48.1","24.1","26.6","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Vet Dentistry Elective","677","001","","53","4.000","92.5",".",".",".",".",".",".","7.5",".",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Clinical Ophthalm Rotation","741","001","","29","4.000","89.7",".",".",".",".",".",".","10.3",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743","001","","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Restrnt/Anesth Exotic Anmls","744","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Animal Surgery","746","001","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748","001","","20","4.000","70.0",".",".",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"Sm Animal Ultrasound Elective","750","001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","775","001","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775","002","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775","003","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","","Course Total","","42","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
