"RISK MANAGEMENT AND INSUR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300
001","","187","3.014","20.9","15.0","38.0","4.8","17.1","2.1","1.1","1.1",".",".",".",".",".",".",".","."
"","365
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","18","3.942","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","399
017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","610
001","","45","3.295","31.1","20.0","26.7","15.6","4.4",".",".","2.2",".",".",".",".",".",".",".","."
"","610
002","","34","3.382","38.2","20.6","26.5","8.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Property Risk Management","Course Total","","79","3.333","34.2","20.3","26.6","12.7","5.1",".",".","1.3",".",".",".",".",".",".",".","."
"Liability Risk Management","615
001","","22","3.643","59.1","9.1","22.7","4.5",".",".",".",".",".",".",".",".",".","4.5",".","."
"Mgt-Insurance Enterprise","640
001","","26","3.673","57.7","23.1","15.4","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Legal Risks","701
001","","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Management","710
030","","56","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","","43","3.686","48.8","39.5","11.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","49","3.684","51.0","34.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics in Risk Management","820
001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Act Sci,Risk Mgmt & Ins II","930
001","","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","990
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
119","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Risk Mgt&Ins Phd","Course Total","","4","***","","","","","","","","","","","","","","","",""
