"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"","699
055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
056","","38","3.946","97.4",".",".",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","699
093","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
096","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
099","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurol 699: Directed Research","Course Total","","59","3.967","98.3",".",".",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"","812
041","","12","3.417","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","042
812","","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
043","","13","3.500","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
044","","17","3.441","17.6","52.9","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","045
812","","15","3.333","13.3","40.0","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neuroscience Core Clerkship","Course Total","","68","3.441","23.5","41.2","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Neurol Clerk-Marshfld","920
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"NEUROL
676","Dept. Total","","128","3.607","58.6","21.9","18.8",".","0.8",".",".",".",".",".",".",".",".",".",".","."
