"PATHOLOGY AND LABORATORY Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"399
Independent Study","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"404","001","","316","3.237","24.7","28.8","25.6","14.2","5.1","1.6",".",".",".",".",".",".",".",".",".","."
"404","002","","46","3.130","21.7","28.3","23.9","15.2","6.5","4.3",".",".",".",".",".",".",".",".",".","."
"Pathophys Princ-Hum Disease","Course Total","","362","3.224","24.3","28.7","25.4","14.4","5.2","1.9",".",".",".",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Cellulr & Moleclr Biol/Path","001","","34","3.434","20.6","38.2","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"807
Immunopathology","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"809
Moleculr Mechanisms of Disease","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Student Seminar / Journal Club","001","","51","",".",".",".",".",".",".",".",".",".","74.5",".",".",".",".","25.5","."
"920","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerk-CSC","Course Total","","19","3.976","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 378 of 430",""
