"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"370
Publ Hlth:Local-Globl Perspect","001","","288","3.497","35.8","39.6","17.4","4.5","1.7",".","0.7",".",".",".",".",".","0.3",".",".","."
"471
Intro-Environmental Health","001","","47","3.574","42.6","29.8","27.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"548
Economics of Health Care","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"552
Regression Methods-Pop Health","001","","13","3.542","30.8","38.5","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"603
Clinicl&Pub Hlth Microbiol","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Foundations-Global Hlth Pract","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"644","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"644","004","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"644","005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Health & Disease","Course Total","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","063","","38","3.895","86.8","10.5",".",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"650","070","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","077","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","50","3.908","90.0","8.0",".",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"652
Topics in Biostat for Epi","001","","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Public Hlth: Principles&Pract","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"785
Health Sys, Mngmnt, & Policy","001","","62","3.508","30.6","41.9","24.2",".","1.6",".",".",".",".",".",".",".","1.6",".",".","."
"786
Social & Behav Sci-Public Hlth","002","","57","3.947","91.2","7.0","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"787
MPH Field Experience Seminar","001","","26","3.904","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"788
Public Health Field Experience","001","","22","3.852","54.5","13.6",".",".",".",".",".",".",".",".",".",".","31.8",".",".","."
"796
Intro-Health Services Research","001","","15","3.567","53.3","13.3","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"798
Epidemiologic Methods","001","","27","3.333","33.3","37.0","14.8","7.4",".","7.4",".",".",".",".",".",".",".",".",".","."
"801
Epidemiology-Infect Disease","001","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"806
Practice of Epidemiology","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Graduate Research Seminar","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"848
Health Economics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Assess-Medical Technologies","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 393 of 430",""
