"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Safety & Quality-Med Use Sys","608
001","138","3.732","55.8","36.2","6.5","1.4","",".","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"Substnc Abuse&Chem Dependnc","640
001","43","3.965","93.0","7.0",".",".","",".","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"PHARMACY
726","Dept. Total","181","3.772","64.6","29.3","5.0","1.1","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 2","","14","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","161","3.769","63.4","30.4","5.0","1.2","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","5","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","180","3.771","64.4","29.4","5.0","1.1","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","181","3.772","64.6","29.3","5.0","1.1","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
