"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"957","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"957","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"957","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"957","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Plastic Surgery-Marshfield","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"962","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Critical Care Surgery-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"963
Cardiac Surg Clerkship-CSC","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"964","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"964","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"964","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thoracic Surgery Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"967","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Urology Clerkship-CSC","Course Total","","6","3.813","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"971
Surgical Internship Boot Camp","008","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"972
IP Simulation Immersion","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
