"Health Care: Intrdis Appr","105
001","","20","3.750","70.0","20.0","5.0",".","","5.0","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Org Influence-Interdis Prac","415
001","","1","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Directed Study","699
012","","1","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"THER SCI
939","Dept. Total","","22","3.744","68.2","22.7","4.5","",".","4.5","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","8","3.500","50.0","25.0","12.5","",".","12.5","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","7","3.929","85.7","14.3",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","6","3.808","66.7","33.3",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","21","3.733","66.7","23.8","4.8","",".","4.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","22","3.744","68.2","22.7","4.5","",".","4.5","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
