"PHARMACY PRACTICE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Cnsmr SelfCare&OverCountrDrugs","305","001","39","3.289","33.3","17.9","23.1","17.9","5.1",".",".","2.6",".",".",".",".",".",".",".","."
"Pharm Practice Experience II","426","001","125","3.944","96.0","1.6","1.6",".",".",".","0.8",".",".",".",".",".",".",".",".","."
"","490","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","003","34","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","004","67","3.851","74.6","20.9","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","005","14","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","490","006","12","3.875","58.3",".","8.3",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","","Course Total","135","3.874","76.3","14.1","5.9",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"Intro-Phm Prac Experience IV","526","056","131","3.989","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills II","554","001","133","3.635","38.3","51.9","9.0",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy II","556","001","133","3.068","10.5","31.6","32.3","15.0","9.8",".","0.8",".",".",".",".",".",".",".",".","."
"Drug Literature Evaluation","570","001","132","3.447","51.5","18.9","15.2","8.3","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"Intro - Phm Prac Experience VI","626","056","133","3.940","91.7","5.3","2.3","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Comprehnsv Immunizatn Delivery","650","001","78","3.125","14.1","21.8","20.5","10.3","10.3",".",".","23.1",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills IV","654","001","133","3.639","45.1","43.6","6.8","3.0","1.5",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy IV","656","001","133","2.924","6.8","24.1","31.6","21.8","15.8",".",".",".",".",".",".",".",".",".",".","."
"Sem Pediatric Pharmacotherapy","657","001","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Mgt in Amb/Prim Care","658","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Herbl, Homeopthy&Diet Supplmnt","672","001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Seminar:Global Health Pharmacy","673","001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminars-Psychiatric Pharmacy","674","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Diabetes Management","679","001","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","074","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","077","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","087","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","089","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","090","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","32","4.000","96.9",".",".",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"Geriatric Pharmacotherapy","710","001","18","3.676","55.6","16.7","22.2",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Oncology Biomarkers","711","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740","005","24","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740","006","15","3.633","53.3","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","","Course Total","39","3.705","59.0","23.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","005","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 417 of 430",""
