"TERM : 1154","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2014-2015","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","",""
"ENTOMOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","","",""
"ENTOM
355","Dept. Total","334","3.481","48.5","21.9","8.7","5.4","5.4","0.9","0.6","2.7","0.3",".","",".","5.7","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","21","3.719","47.6","47.6","4.8",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Sophomore","","43","3.477","44.2","23.3","23.3","4.7","4.7",".",".",".",".",".","",".",".","",".",".",".","."
"Junior","","61","3.529","57.4","18.0","9.8","4.9","8.2",".",".","1.6",".",".","",".",".","",".",".",".","."
"Senior","","139","3.375","47.5","25.9","7.9","8.6","6.5","2.2","1.4",".",".",".","",".",".","",".",".",".","."
"Undergraduates","","264","3.453","49.2","25.4","10.6","6.4","6.1","1.1","0.8","0.4",".",".","",".",".","",".",".",".","."
"Special","","8","3.381","37.5","25.0",".","12.5","12.5",".",".","12.5",".",".","",".",".","",".",".",".","."
"Graduate","","62","3.803","46.8","6.5","1.6",".","1.6",".",".","11.3","1.6",".","",".","30.6","",".",".",".","."
"","Dept. Total","334","3.481","48.5","21.9","8.7","5.4","5.4","0.9","0.6","2.7","0.3",".","",".","5.7","",".",".",".","."
