"PHYSICAL THERAPY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"745
PHY THER","","","","","","","","","","","","","","","","","","","",""
"Principles-Pro Practice&Adm","512
001","","40","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of PT Intervention","534
001","","40","3.675","40.0","55.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","540
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","540
002","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychosoc Aspects of Hlth Care","Course Total","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","542
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","542
002","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Ethics,Jurisprudence,Regs","Course Total","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cl Decision Mkng:Neuromus Mech","628
001","","40","3.513","25.0","52.5","22.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Control Dysfunction II","636
001","","40","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scientific Inquiry-Phy Ther","640
001","","40","3.654","40.0","47.5","10.0",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"","642
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss in Rehab Rsch II","643
001","","41","",".",".",".",".",".",".",".","2.4",".","97.6",".",".",".",".",".","."
"Clinical Medicine II","665
001","","40","3.588","27.5","62.5","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musculoskeletal Dysfunction II","677
001","","40","3.575","22.5","70.0","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Internship I","700
001","","40","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Internship V","704
001","","39","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Internship VI","705
001","","39","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","799
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
799","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","799
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
007","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","48","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
