"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"401
Survey of Pharmacology","001","","191","3.359","44.5","16.2","22.5","7.3","6.3","2.6","0.5",".",".",".",".",".",".",".",".","."
"420
Phys/Chem Principles of Drugs","001","","127","3.433","36.2","26.8","26.8","7.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"432
Pharmaceutical Biochemistry","001","","127","3.622","59.1","18.9","12.6","6.3","3.1",".",".",".",".",".",".",".",".",".",".","."
"493
Selected Topics-Pharm Sci","001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"521
Pharmacology I","001","","150","3.557","51.3","22.0","18.0","4.0","4.7",".",".",".",".",".",".",".",".",".",".","."
"540
Drug Delivery Systems","001","","134","3.433","25.4","46.3","19.4","7.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"542
Parenteral Therapy & Nutrition","001","","134","3.828","73.9","17.9","8.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"558
Lab Techniques-Pharmcol&Toxcol","001","","26","3.904","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Pharmacology III","001","","148","3.855","79.1","14.9","4.7","0.7","0.7",".",".",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"768
Pharmacokinetics","001","","22","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Principles of Pharmaceut Sci","001","","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Chem-Biology Interface I","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931","001","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"931","002","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"931","003","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmaceutical Sci Seminar","Course Total","","66","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 403 of 420",""
