"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120","001","99","3.859","87.9","7.1","1.0","1.0","1.0","2.0",".",".",".",".",".",".",".",".",".","."
"Amer Soc: How It Really Works","125","002","178","3.243","20.2","36.0","20.8","12.9","5.1",".","1.1","3.4",".",".",".",".","0.6",".",".","."
"Criminal Justice in America","131","001","100","2.655","4.0","12.0","43.0","13.0","20.0","6.0","2.0",".",".",".",".",".",".",".",".","."
"Soc of Race & Ethnicity in US","134","001","494","3.392","35.4","28.5","21.9","8.5","4.9","0.4","0.2",".",".",".",".",".",".",".","0.2","."
"The Sociology of Gender","138","002","99","3.750","71.7","15.2","4.0","6.1","2.0",".",".",".",".",".",".",".","1.0",".",".","."
"Intro-Community & Envir Soc","140","001","57","3.386","26.3","49.1","15.8","3.5","1.8","1.8","1.8",".",".",".",".",".",".",".",".","."
"Population Problems","170","001","494","3.753","63.8","25.1","8.1","1.8","0.6",".",".","0.2",".",".",".",".",".",".","0.4","."
"Intro to LGBTQ+ Studies","200","001","49","3.198","24.5","28.6","26.5","10.2","4.1","2.0","2.0",".",".",".",".",".",".","2.0",".","."
"Intercultural Dialogues","205","001","21","3.762","76.2","9.5","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Leadership in ICD","206","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey of Sociology","210","001","87","3.397","39.1","32.2","13.8","8.0","4.6",".","2.3",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211","002","68","3.343","41.2","29.4","14.7","2.9","4.4","1.5","4.4",".",".",".",".",".",".","1.5",".","."
"","236","002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","236","003","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"Bascom Course","","Course Total","28","4.000","96.4",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.6"
"SE Asia:Vietnam to Philipns","244","001","6","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","248","001","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","248","002","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","","Course Total","33","3.864","78.8","15.2","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","8","3.438","37.5","37.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","320","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","066","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","092","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","108","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","109","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","171","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","199","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","209","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","","Course Total","20","3.978","85.0","5.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Issues in Food Systems","340","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Labor in Global Food Systems","341","001","12","3.500","41.7","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357","001","71","3.543","38.0","47.9","8.5",".","1.4","1.4","1.4",".",".",".",".",".",".",".",".","1.4"
"Stats for Sociologists I","360","001","36","3.014","16.7","27.8","19.4","19.4","13.9","2.8",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","20","3.450","50.0","20.0","25.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Intro-Mathematical Sociology","375","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Issues in Aging","422","001","6","3.400","33.3","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7","."
"Crime, Gender and Justice","425","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethnicity, Race, and Justice","440","001","37","2.971","8.1","37.8","16.2","16.2","8.1","2.7","2.7","8.1",".",".",".",".",".",".",".","."
"Criminology","441","001","97","3.655","55.7","35.1","3.1","3.1","1.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","","Page 324 of 420"
