"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"323
002
Art in Elementary Education","","10","3.700","60.0","20.0","20.0",".","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"324
001
Art in Secondary Education","","10","3.500","40.0","30.0","20.0","10.0","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"470
001
Practicum in Elem School Art","","10","3.900","90.0",".","10.0",".","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"493
001
Practicum-Secondary School Art","","10","3.850","80.0","10.0","10.0",".","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"ART ED
Dept. Total
176","","40","3.738","67.5","15.0","15.0","2.5","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","28","3.679","60.7","17.9","17.9","3.6","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","28","3.679","60.7","17.9","17.9","3.6","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","12","3.875","83.3","8.3","8.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","40","3.738","67.5","15.0","15.0","2.5","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
