"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105
Health Care: Intrdis Appr","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"411
Pharmacy and Health System","001","","127","3.504","40.9","30.7","19.7","5.5","3.1",".",".",".",".",".",".",".",".",".",".","."
"699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Research Seminar in SAS","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999
Advanced Independent Study","024","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"S&A PHM
732","Dept. Total","","178","3.563","51.7","22.5","14.0","3.9","2.2",".",".","5.6",".",".",".",".",".",".",".","."
