"TERM : 1202","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2019-2020","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","",""
"","NEUROSCIENCE TRAINING PRO Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"682","NTP","","","","","","","","","","","","","","","","","","","","",""
"682","NTP","214
Dept. Total","3.528","27.1","8.9","6.1","0.5","2.3","",".","",".","45.8","0.5","6.5","",".","0.5","0.9","0.5",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"682","NTP","","","","","","","","","","","","","","","","","","","","",""
"","Junior","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
