"TERM : 1202","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2019-2020","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROSCIENCE","","Section
#","Ave","A","AB","B","BC","","C","D","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"681","NEURODPT","","","","","","","","","","","","","","","","","","","","","","",""
"681","NEURODPT","87
Dept. Total","3.627","57.5","3.4","2.3","",".","3.4","2.3","",".","24.1","1.1",".","",".","",".","",".",".","5.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"681","NEURODPT","","","","","","","","","","","","","","","","","","","","","","",""
"","Freshmen","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
