"PHARMACY PRACTICE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Cnsmr SelfCare&OverCountrDrugs","305","001","73","2.979","16.4","20.5","27.4","19.2","13.7","2.7",".",".",".",".",".",".",".",".",".","."
"Pharmacy Practice Experience I","425","001","127","3.969","94.5","4.7","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pathways in Pharmacy Practice","461","001","127","3.949","90.6","8.7","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Develop & Engagement II","463","001","134","",".",".",".",".",".",".",".",".",".","98.5","0.7",".",".",".",".","."
"Select Topics-Pharmacy Prac","490","010","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Phm Prac Experience III","525","033","134","3.993","98.5","1.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","550","001","78","3.966","88.5","6.4",".",".",".",".",".","5.1",".",".",".",".",".",".",".","."
"Clinical Pharmacokinetics","551","001","135","3.563","49.6","25.9","13.3","9.6","1.5",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills I","553","001","134","3.847","69.4","30.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy I","555","001","136","3.107","23.5","19.9","22.8","20.6","12.5",".",".",".",".",".",".",".","0.7",".",".","."
"Leadership Health-System Pharm","610","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Imaging for Pharmacist","611","001","29","3.948","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Sys Pharm Analysis & Inf","617","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Practice Innovation I","628","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonprescrip Prod & Self-Care","638","001","139","3.453","30.2","37.4","23.7","7.9",".",".",".",".",".",".",".",".",".",".",".","0.7"
"Pharmacotherapy Skills III","653","001","140","3.675","47.9","41.4","8.6","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy III","655","001","140","3.212","12.9","35.0","36.4","11.4","3.6",".",".",".",".",".",".",".",".",".","0.7","."
"Veterinary Therapeutics","670","001","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Academic Pharmacy I","671","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Geriatrics","676","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminars in Cardiology","677","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","015","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","699","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","053","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","054","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","057","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","067","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","072","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","086","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","090","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","49","4.000","95.9",".",".",".",".",".",".",".",".",".",".",".","4.1",".",".","."
"","740","004","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740","005","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","","Course Total","34","3.853","79.4","11.8","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","004","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","005","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","114","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","741","170","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","741","172","1","***","","","","","","","","","",".",".",".",".",".",".","."
