"POPULATION HEALTH SCIENCESSection","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"451
Intro to SAS Prog for Pop Hlth","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"502
Air Pollution&Human Health","001","","55","3.555","47.3","23.6","25.5",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"551
Intro to Biostats for Pop Hlth","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"553
Internl Hlth & Global Society","001","","31","3.677","48.4","38.7","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Hlth Impact of Global Envr Chg","001","","17","3.900","76.5","5.9","5.9",".",".",".",".","5.9",".",".",".",".","5.9",".",".","."
"650
Special Topics","085","","43","3.714","60.5","23.3","9.3","4.7",".",".",".",".",".",".",".",".","2.3",".",".","."
"651
Adv Regression Mthds-Pop Hlth","001","","12","3.773","58.3","25.0","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","14","3.983","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"709
Translat'l & Outcomes Research","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"718
Global Health Care Systems","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"721
Conspiracies in Public Health","001","","55","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"728","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"728","008","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Climate Change Medicine","Course Total","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"729
Preparedness in Pub Hlth","009","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"794
Biol Basis-Population Health","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"795
Principles-Populatn Health Sci","002","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"797
Introduction to Epidemiology","005","","43","3.714","58.1","25.6","11.6","2.3",".",".",".","2.3",".",".",".",".",".",".",".","."
"805
Adv. Epi: Causal Inference","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"810
Global Health Epidemiology","001","","29","3.852","79.3","3.4","6.9","3.4",".",".",".",".",".",".",".",".","3.4",".","3.4","."
"820
Graduate Research Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"847
Cardiovascular Epi","002","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"849
Genetic Epidemiology","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915
Internl Hlth Systems & Policy","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
