"RISK MANAGEMENT AND INSUR Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300","001","237","3.042","35.9","4.6","27.0","7.2","20.3","5.1",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620","001","43","3.360","27.9","25.6","39.5","4.7","2.3",".",".",".",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640","001","55","3.255","34.5","10.9","36.4","7.3","10.9",".",".",".",".",".",".",".",".",".",".","."
"Commercial Insurance","645","001","46","3.337","39.1","8.7","37.0","10.9","4.3",".",".",".",".",".",".",".",".",".",".","."
"Sustainbl, Envir&Soc Risk Mgmt","650","001","44","3.534","31.8","47.7","15.9","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Financing Techniques","655","001","59","3.280","28.8","25.4","25.4","13.6","6.8",".",".",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700","001","29","3.500","34.5","44.8","6.9","13.8",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Act Sci, Risk Mgmt & Ins I","920","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","072","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","5","***","","","","","","","","","","","","","","","",""
