"TERM : 1202","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2019-2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURGERY","","Section
#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"936","SURGERY","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"936","SURGERY","46
Dept. Total","4.000","95.7","",".","",".","",".","",".","",".","",".","",".","",".","4.3","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"936","SURGERY","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sophomore","2","***","","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
