"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","183","3.750","62.3","28.4","6.6","1.6",".","0.5",".","0.5",".",".",".",".",".",".",".","."
"","299
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"","313
001","79","3.722","49.4","46.8","2.5","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","81","3.636","38.3","50.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Nrsg Practice","Course Total","160","3.678","43.8","48.8","6.9","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"","314
001","79","3.892","78.5","21.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","314
002","81","3.907","81.5","18.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","314
003","41","3.915","82.9","17.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Promo Dz Prev Acrs Lfspn","Course Total","201","3.903","80.6","19.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","79","3.759","53.2","45.6","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","81","3.747","50.6","48.1","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Profnlism in a Nrsg Practice","Course Total","160","3.753","51.9","46.9","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Nrsg Pract: Exp Lrng","316
001","160","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Hlth & Ill Indiv Fam","323
003","41","3.512","29.3","51.2","14.6","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"Mtg Psychosocial Hlth Needs","324
003","41","3.744","48.8","51.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Ill Indiv Fam Exp Lrng I","326
003","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Hlt Ill Indiv Fam Exp Lrng II","327
003","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","001
434","83","3.482","13.3","73.5","10.8","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"","434
002","76","3.533","17.1","72.4","7.9","1.3",".",".",".",".",".",".",".",".","1.3",".",".","."
"","003
434","41","3.390","14.6","51.2","31.7","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty","Course Total","200","3.486","15.0","68.5","14.0","1.5","0.5",".",".",".",".",".",".",".","0.5",".",".","."
"","435
001","83","3.910","81.9","18.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","435
002","76","3.862","72.4","27.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence-Based Practice","Course Total","159","3.887","77.4","22.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","436
001","70","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","436
002","61","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","436
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","436
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","436
013","72","",".",".",".",".",".",".",".",".",".","98.6",".",".",".",".","1.4","."
"","014
436","61","",".",".",".",".",".",".",".",".",".","96.7",".",".",".",".","1.6","."
"","436
015","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","436
016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty: EL","Course Total","284","",".",".",".",".",".",".",".",".",".","98.9",".",".",".",".","0.7","."
"","437
001","83","3.922","88.0","9.6","1.2","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"","437
002","76","3.901","81.6","17.1","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Justice in Loc & Glb Stgs","Course Total","159","3.912","84.9","13.2","1.3","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Cnpts in Cplx Nrsg Prc: EL","446
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"School Nursing and Comm Hlth","Course Total","6","3.464","16.7","66.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
