"","788
002","4","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Applied Practice Experience","Course Total","22","",".",".",".",".","",".","",".","",".","86.4","",".",".","",".","",".","13.6",".",".","."
"Communicating PH Info -2","001
791","30","3.741","46.7","50.0",".",".","",".","",".","",".",".","",".",".",".","",".","","3.3",".",".","."
"Politics of Health Policy","792
001","33","3.935","81.8","12.1",".",".","",".","",".","",".",".","",".",".",".","",".","","3.0",".","3.0","."
"PUBLHLTH
828","Dept. Total","272","3.899","62.1","11.0","1.5","0.7","",".","",".","",".","21.7","",".",".","",".","",".","2.6",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"828
PUBLHLTH","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","10","3.500",".","30.0",".",".","",".","",".","",".","70.0","",".",".","",".","",".",".",".",".","."
"Undergraduates","","10","3.500",".","30.0",".",".","",".","",".","",".","70.0","",".",".","",".","",".",".",".",".","."
"Graduate","","7","3.857","71.4","28.6",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","","253","3.906","64.4","9.5","1.6","0.8","",".","",".","",".","20.6","",".",".","",".","",".","2.8",".","0.4","."
"Professionals","","255","3.905","64.3","9.8","1.6","0.8","",".","",".","",".","20.4","",".",".","",".","",".","2.7",".","0.4","."
"","Dept. Total","272","3.899","62.1","11.0","1.5","0.7","",".","",".","",".","21.7","",".",".","",".","",".","2.6",".","0.4","."
