"Tumor Immunol Cancer Immnthrpy","911
008","","4","***","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
001","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
022","","2","***","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Rsch in Human Cancer Bio","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"H ONCOL
480","Dept. Total","","30","4.000","70.0","",".","",".","",".","",".","",".","",".","16.7","",".",".","",".","10.0","",".","3.3",".","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","3","***","","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","","7","4.000","85.7","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".","14.3",".","."
"Senior","","","13","4.000","92.3","",".","",".","",".","",".","",".","",".",".","",".",".","",".","7.7","",".",".",".","."
"Undergraduates","","","23","4.000","91.3","",".","",".","",".","",".","",".","",".",".","",".",".","",".","4.3","",".","4.3",".","."
"Prof Yr 2","","","2","***","","","","","","","","","","","","","","","","",".","",".","100.0","",".",".",".","."
"Prof Yr 3","","","2","***","","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 4","","","3","***","","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","","7","",".","",".","",".","",".","",".","",".","",".","71.4","",".",".","",".","28.6","",".",".",".","."
"","Dept. Total","","30","4.000","70.0","",".","",".","",".","",".","",".","",".","16.7","",".",".","",".","10.0","",".","3.3",".","."
