"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"741","270","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","38","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742","004","","22","3.909","95.5",".",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"742","005","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health-system Pharm Clerkship","Course Total","","36","3.903","91.7","2.8","2.8",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"743","004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"743","005","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Pharmarcy Practice","Course Total","","32","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Spec Hlth Nd","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"760","004","","49","3.622","73.5","6.1","8.2","4.1","4.1","4.1",".",".",".",".",".",".",".",".",".","."
"760","005","","53","3.868","75.5","22.6","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"760","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","125","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","180","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","185","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","215","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","218","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","252","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","280","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","285","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","289","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elective Pharm Pract Clkshp","Course Total","","117","3.769","76.9","12.8","4.3","2.6","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"961
Grad Sem Hlth-System Pharmacy","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999
Advanced Independent Study","028","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
