"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"","456
001","13","3.667","61.5","7.7","15.4","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"","456
002","14","2.714","21.4",".","42.9",".","28.6",".","7.1",".",".",".",".",".",".",".",".","."
"","456
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","31","3.264","41.9","6.5","25.8","6.5","12.9",".","3.2","3.2",".",".",".",".",".",".",".","."
"","002
475","12","3.000","16.7","25.0","16.7","25.0",".","8.3",".","8.3",".",".",".",".",".",".",".","."
"","475
003","22","3.750","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
475","12","3.417","41.7","25.0","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","Course Total","46","3.478","43.5","28.3","13.0","8.7","2.2","2.2",".","2.2",".",".",".",".",".",".",".","."
"Contemporary Soc Theory","476
001","10","3.600","70.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","496
001","18","3.719","44.4","38.9","5.6",".",".",".",".","5.6",".",".",".",".",".","5.6",".","."
"","002
496","6","3.400","33.3",".","50.0",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","496
003","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","496
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","022
496","47","3.933","27.7","4.3",".",".",".",".",".","68.1",".",".",".",".",".",".",".","."
"","026
496","12","3.364","41.7","33.3",".",".","8.3","8.3",".",".",".",".",".",".",".","8.3",".","."
"","496
027","25","3.840","76.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","Course Total","123","3.707","46.3","17.1","4.9",".","0.8","0.8",".","27.6",".",".",".",".","0.8","1.6",".","."
"Talk and Social Interaction","535
001","11","2.818","18.2","27.3","18.2","9.1","18.2",".","9.1",".",".",".",".",".",".",".",".","."
"Collective Behavior","543
001","20","3.700","55.0","30.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspec-Life Course&Age","575
001","18","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Political Sociology","001
624","12","3.700","41.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"Soc:Devlp Societies/3rd Wld","630
001","23","3.310","21.7","34.8","17.4","13.0","4.3",".",".",".",".",".",".",".","8.7",".",".","."
"Sociology of Organizations","632
001","16","3.500","43.8","25.0","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Social Stratification","001
633","16","3.500","31.3","37.5","12.5",".","6.3",".",".",".",".",".",".",".","12.5",".",".","."
"Sociology of Education","001
648","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Agriculture","650
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Crimnl Justice Fld Observtn","694
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
085","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"Intro Prosmr-Grad Students","700
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"EmethodologyConvAnalysis","735
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Methods-Sociology","750
001","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Epidemiology","797
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","875
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","875
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","24","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"Seminar-Sociological Theory","001
915","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
