"LAFOLLETTE SCHOOL PUB AFFASection","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","",""
"Contemp Public Policy Issues","200","001","","45","3.500","37.8","28.9","31.1",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"Public Leadership","278","001","","15","3.333","13.3","40.0","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Law","419","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Policy in the Postgenomics Era","523","001","","9","3.500","77.8",".",".",".",".",".","11.1",".",".",".",".",".","11.1",".",".","."
"Economics of Health Care","548","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Pub Affr Prof Devlpmnt Workshp","800","001","","47","",".",".",".",".",".",".",".",".",".","97.9",".",".",".",".",".","."
"Intro-Energy Analysis & Policy","809","001","","12","3.636","41.7","33.3","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Intro Stat Meths-Pub Pol Anal","818","001","","43","3.549","46.5","18.6","23.3","7.0",".",".",".","2.3",".",".",".",".","2.3",".",".","."
"Administrative Internship","827","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Program Evaluation","871","001","","24","3.957","87.5","8.3",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Policy-Making Process","874","001","","39","3.795","64.1","30.8","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microecon Policy Analysis","880","001","","53","3.760","58.5","32.1","7.5",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"","881","001","","21","3.667","47.6","42.9","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","881","002","","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Benefit-Cost Analysis","","Course Total","","44","3.795","65.9","29.5","2.3","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Public Affairs","974","007","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
