"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"","105
001","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
105","92","3.864","77.2","18.5","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","112","3.873","79.5","17.0","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","299
049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","302
001","100","3.320","23.0","30.0","37.0","8.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","302
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","Course Total","104","3.332","23.1","31.7","35.6","7.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"Narrative Anal-Nursing Prac","306
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology & Nursing","310
001","40","3.513","42.5","30.0","17.5","7.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Alterations in Body Systems","312
001","102","2.946","10.8","19.6","29.4","30.4","8.8","1.0",".",".",".",".",".",".",".",".",".","."
"Health Assessment","317
003","7","3.143",".","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Nurs Care-Inpatient Setting","319
001","104","3.784","64.4","29.8","4.8",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","322
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","332
001","91","3.511","26.4","53.8","15.4","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"","341
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","341
003","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theoretical Foundations","Course Total","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","401
001","88","3.631","46.6","38.6","10.2","3.4","1.1",".",".",".",".",".",".",".",".",".",".","."
"Concepts-Prof Nursing Pract","406
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","415
001","79","3.867","81.0","11.4","7.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419
001","36","3.931","86.1","13.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","434
001","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","434
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","434
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Nursing Research","Course Total","14","3.393","28.6","35.7","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt & Leadershp in Nursing","437
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","444
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","444
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","444
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","7","3.583","57.1",".","14.3","14.3",".",".",".",".",".",".",".",".","14.3",".",".","."
"Persons&Family/Complx Needs","449
001","58","3.897","81.0","17.2","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Primary Health Care-School","470
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in School Nursing","472
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
028","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","8","3.500","50.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RN's","519
001","7","3.912","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","590
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Mgmt-Adv Nurs Prac","612
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
613","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
