"THERAPEUTIC SCI (DEPT-KINES Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100","001","","44","3.881","75.0","18.2","2.3",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Terminology","148","001","","55","3.846","78.2","7.3","7.3",".","1.8",".",".","5.5",".",".",".",".",".",".",".","."
"Adaptatn-Pediatric Disordrs","534","001","","45","3.589","51.1","20.0","24.4","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship-Pediatrc Occ Ther","537","001","","45","3.778","71.1","17.8","6.7","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkshp-Independent Living","544","001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatns-Independnt Living","545","001","","23","3.717","43.5","56.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","546","001","","15","3.267","20.0","13.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","546","002","","12","3.458","8.3","75.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adp&Cnst Eqp-Peopl/Disbilts","","Course Total","","27","3.352","14.8","40.7","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Scientific Inquiry","570","001","","23","3.804","65.2","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization and Management","636","001","","45","3.633","35.6","55.6","8.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatn-Phys Disablties II","640","001","","45","3.500","20.0","62.2","15.6","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship-Phys Disabilities","641","001","","45","3.922","84.4","15.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fieldwork in Mental Health","662","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fieldwork-Physical Disabil","664","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","670","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","670","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Fieldwork","","Course Total","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","12","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","24","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","775","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","775","024","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","11","3.640","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research and Thesis","791","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
