"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Animal Hlth Hist Restraint","570
001","79","4.000","1.3",".",".",".",".",".",".","98.7",".",".",".",".",".",".",".","."
"Veterinary Medicine II","622
001","75","2.787","4.0","9.3","54.7","4.0","28.0",".",".",".",".",".",".",".",".",".",".","."
"Vet Diag&Therapeut Techniq","625
001","75","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Veterinary Nutrition","629
001","79","3.608","40.5","40.5","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","667
001","18","4.000","5.6",".",".",".",".",".",".","94.4",".",".",".",".",".",".",".","."
"","667
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Neurology","Course Total","19","4.000","10.5",".",".",".",".",".",".","89.5",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","26","4.000","46.2",".",".",".",".",".",".","53.8",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","28","4.000","28.6",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"","670
001","36","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"","670
002","6","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","42","4.000","11.9",".",".",".",".",".",".","88.1",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","23","4.000","43.5",".",".",".",".",".",".","56.5",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","52","4.000","38.5",".",".",".",".",".",".","61.5",".",".",".",".",".",".",".","."
"","675
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
004","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
007","34","4.000","26.5",".",".",".",".",".",".","73.5",".",".",".",".",".",".",".","."
"","675
008","31","4.000","6.5",".",".",".",".",".",".","93.5",".",".",".",".",".",".",".","."
"","675
009","79","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
015","78","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
016","61","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","318","4.000","7.5",".",".",".",".",".",".","92.5",".",".",".",".",".",".",".","."
"Exotic Animal Medicine","677
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","678
001","48","4.000","72.9",".",".",".",".",".",".","27.1",".",".",".",".",".",".",".","."
"","678
002","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","678
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","56","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","17","4.000","47.1",".",".",".",".",".",".","52.9",".",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","010
699","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","699
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","13","4.000","53.8",".",".",".",".",".",".","46.2",".",".",".",".",".",".",".","."
"","699
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","45","4.000","57.8",".",".",".",".",".",".","42.2",".",".",".",".",".",".",".","."
"Production Medicine II","001
703","9","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"Prod Med III-Appl Dy Nutr","705
001","13","4.000","38.5",".",".",".",".",".",".","61.5",".",".",".",".",".",".",".","."
"Production Medicine IV","707
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
