"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201
Biomed Engineering Design","001","","42","3.571","33.3","50.0","14.3","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"301
Biomed Engineering Design","001","","33","3.712","48.5","45.5","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"310
Bioinstrumentation","001","","51","3.392","25.5","43.1","25.5","3.9",".",".","2.0",".",".",".",".",".",".",".",".","."
"399","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401
Physics for Medicine & Biol","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"402
Biomedical Engineering Design","001","","17","3.500","35.3","29.4","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","47","3.202","29.8","17.0","31.9","10.6","8.5","2.1",".",".",".",".",".",".",".",".",".","."
"461
Math&Comp Model-Physiol Sys","001","","32","3.609","31.3","59.4","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"564
Ergonomcs-Manufact&Industry","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"566
Physics of Radiotherapy","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"601
Special Topics-Biomed Engr","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"662
Dsgn & Hum Disablty & Aging","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699
Advanced Independent Study","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"762
Biomedical Instrumentation","001","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","037","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-dissertation Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
"990
Research and Thesis","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
