"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPHTHALMOLOGY AND VISUAL  Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"812
014","","13","3.577","15.4","84.6","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"812
015","","12","3.708","41.7","58.3","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"812
016","","10","3.650","30.0","70.0","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"812
017","","17","3.647","29.4","70.6","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"019
812","","14","3.714","42.9","57.1","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Course Total
Third Year Ophthalmology","","66","3.659","31.8","68.2","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"910
081
Indep Rdg & Rsch-4th Yr Med","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"919
009
Indiv 4th Yr Clin Clerkship","","2","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"OPHTHALM
Dept. Total
702","","69","3.695","33.3","66.7","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 3","","64","3.664","32.8","67.2","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","5","3.846","40.0","60.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","69","3.695","33.3","66.7","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","69","3.695","33.3","66.7","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
