"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","165","2.688","7.3","17.6","30.9","20.6","13.3","5.5","4.2",".","0.6",".",".",".",".",".",".","."
"","100","002","166","2.855","12.0","16.9","33.1","16.9","16.9","3.0","1.2",".",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","331","2.772","9.7","17.2","32.0","18.7","15.1","4.2","2.7",".","0.3",".",".",".",".",".",".","."
"Archaeology & Prehist World","102","001","107","2.693","13.1","12.1","27.1","9.3","32.7","1.9","2.8","0.9",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","104","001","525","3.372","29.3","30.7","22.5","6.5","3.8","0.8","0.4","5.0",".",".",".",".",".","0.2","1.0","."
"Evolution of Human Species","107","001","162","2.854","14.8","21.6","23.5","19.8","12.3","4.3","3.1",".",".",".",".",".",".",".","0.6","."
"Principles of Archaeology","112","068","59","3.307","44.1","16.9","18.6","5.1","5.1","5.1","1.7","1.7",".",".",".",".",".","1.7",".","."
"Africa: Introductory Survey","277","001","38","2.545","7.9","2.6","26.3","7.9","39.5","2.6",".","13.2",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","8","2.688","12.5","12.5","37.5",".","25.0","12.5",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prehistoric Europe","309","001","44","2.917","25.0","9.1","20.5","15.9","20.5","4.5",".","4.5",".",".",".",".",".",".",".","."
"Topics in Archaeology","310","001","25","3.705","48.0","28.0","12.0",".",".",".",".","4.0",".",".",".",".","4.0",".","4.0","."
"Peoples&Cultures-the Arctic","317","001","23","3.115","17.4","34.8","8.7","21.7","4.3","4.3",".","8.7",".",".",".",".",".",".",".","."
"The Origins of Civilization","322","001","61","2.943","14.8","18.0","29.5","23.0","13.1",".","1.6",".",".",".",".",".",".",".",".","."
"Peoples of the Andes Today","327","001","26","3.538","76.9",".","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","330","001","25","3.350","40.0","28.0","12.0",".",".",".","8.0","4.0",".",".",".",".","8.0",".",".","."
"","330","002","24","3.468","54.2","20.8","12.5",".","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","330","003","19","3.688","52.6","26.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".","5.3","5.3"
"Topics in Ethnology","","Course Total","68","3.488","48.5","25.0","10.3",".","4.4","1.5","2.9","1.5",".",".",".",".","2.9",".","1.5","1.5"
"Anthropology of Religion","343","001","24","3.638","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jews of Central&Eastern Europe","372","001","56","3.693","62.5","12.5","16.1","1.8","1.8",".",".","3.6",".",".",".",".",".",".","1.8","."
"Ceramic Analysis-Archaeolgy","392","001","12","3.250","41.7","16.7","33.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","16","2.781","18.8","12.5","25.0","6.3","31.3","6.3",".",".",".",".",".",".",".",".",".","."
"Ecological Anthropology","470","001","28","3.196","28.6","17.9","32.1","14.3","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"","490","001","16","3.500","50.0","12.5","12.5","18.8",".",".",".",".",".",".",".",".","6.3",".",".","."
"","490","002","16","3.714","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","6.3","6.3"
"Undergraduate Seminar","","Course Total","32","3.603","50.0","18.8","12.5","9.4",".",".",".",".",".",".",".",".","3.1",".","3.1","3.1"
"Cross-Cultrl Spread-Wld Relig","622","001","13","3.611","53.8",".","30.8",".",".",".",".","7.7",".",".",".",".",".",".",".","7.7"
"Senior Honors Thesis","682","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","696","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","069","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","940","001","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Probs-Cultural Anthro","","Course Total","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Archaeological Problems","942","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Anthropology&Education","970","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 162 of 385",""
