"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"","105
001","","22","3.650","63.6","18.2","4.5",".",".",".","4.5",".",".",".",".",".",".","9.1",".","."
"","105
002","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","","32","3.775","68.8","18.8","3.1",".",".",".","3.1",".",".",".",".",".",".","6.3",".","."
"Introduction-Social Policy","001
206","","139","3.199","25.2","29.5","20.9","12.9","8.6","1.4","0.7",".",".",".",".",".",".","0.7",".","."
"","401
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
002","","9","3.803","55.6","33.3",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","401
004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
401","","9","3.914","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
401","","6","3.904","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
007","","10","3.947","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
008","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
009","","6","3.820","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
401","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","","95","3.932","87.4","9.5","2.1",".",".",".",".","1.1",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","001
453","","218","3.838","81.2","8.7","5.5",".","1.4","0.5","0.5","0.9",".",".",".",".","1.4",".",".","."
"Human Behavior & Environmnt","457
001","","82","3.750","68.3","18.3","12.2",".",".","1.2",".",".",".",".",".",".",".",".",".","."
"Child Welfare","462
001","","22","3.614","27.3","68.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam Prac-Foster & Kinship Care","576
001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Homelessness: Service Learning","578
001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Policy","606
001","","61","3.738","57.4","32.8","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work with the Person","622
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work with the Family","623
001","","26","3.827","73.1","15.4","7.7",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Social Wrk with Small Group","624
001","","28","3.890","78.6","14.3","3.6",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"Affectng Change-Socl Agency","627
001","","24","3.831","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","640
001","","70","3.907","82.9","15.7","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work and Adolescents","642
001","","26","3.589","53.8","15.4","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","","40","2.839","22.5","17.5","25.0","12.5","7.5",".","10.0","5.0",".",".",".",".",".",".",".","."
"","002
644","","27","3.147","25.9","18.5","22.2","18.5","11.1",".",".","3.7",".",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","Course Total","","67","2.965","23.9","17.9","23.9","14.9","9.0",".","6.0","4.5",".",".",".",".",".",".",".","."
"Child Abuse and Neglect","646
001","","25","3.608","48.0","36.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Social Wrk Research","650
001","","54","3.512","48.1","16.7","29.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"American Indian Affairs","658
001","","20","3.483","45.0","40.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","662
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","667
002","","20","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","677
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 290 of 385",""
