"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"544
Surgery Fundamentals","001","","79","3.392","25.3","34.2","35.4","3.8","1.3",".",".",".",".",".",".",".",".",".",".","."
"545
Fundmntls-Anesthesiology I","001","","79","3.462","38.0","20.3","39.2","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"546
Fundmntls-Anesthesiology II","001","","75","3.120","12.0","24.0","49.3","5.3","9.3",".",".",".",".",".",".",".",".",".",".","."
"631
Large Animal Surgery","001","","75","2.953","9.3","17.3","45.3","10.7","17.3",".",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","75","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"634
Small Animal Anesthesia Lab","001","","75","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"638
Veterinary Radiology","001","","75","3.160","9.3","25.3","56.0","6.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"642","001","","36","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"642","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","37","4.000","32.4",".",".",".",".",".",".","67.6",".",".",".",".",".",".",".","."
"644
Small Orthopedic Surgery","001","","18","4.000","44.4",".",".",".",".",".",".","55.6",".",".",".",".",".",".",".","."
"645","001","","50","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"645","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","55","4.000","38.2",".",".",".",".",".",".","61.8",".",".",".",".",".",".",".","."
"646
Veterinary Anesthesiology","001","","34","4.000","61.8",".",".",".",".",".",".","38.2",".",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","26","4.000","30.8",".",".",".",".",".",".","69.2",".",".",".",".",".",".",".","."
"675","002","","19","4.000","31.6",".",".",".",".",".",".","68.4",".",".",".",".",".",".",".","."
"675","004","","26","4.000","30.8",".",".",".",".",".",".","69.2",".",".",".",".",".",".",".","."
"675","006","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","007","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"675","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"675","010","","55","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"675","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","134","4.000","33.6",".",".",".",".",".",".","66.4",".",".",".",".",".",".",".","."
"676
Special Species Health","001","","74","3.297","9.5","48.6","35.1","5.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"677
Vet Dentistry Elective","001","","46","4.000","87.0",".",".",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","7","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"699","02","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","22","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","33","4.000","57.6",".",".",".",".",".",".","42.4",".",".",".",".",".",".",".","."
"743
Adv Anesthlgy/Crit Care Med","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"744
Restrnt/Anesth Exotic Anmls","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 380 of 385",""
