"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"928","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Med Subintern-Milwaukee","Course Total","","4","***","","","","","","","","","","","","","","","",""
"943","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"943","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiol Consult Serv-CSC","Course Total","","10","3.450","10.0","70.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"944","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"944","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"944","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Cardiol Clerkshp-VAH","Course Total","","4","***","","","","","","","","","","","","","","","",""
"945","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"945","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Acute Care Med Cardiol-Milw","Course Total","","2","***","","","","","","","","","","","","","","","",""
"948
Cardiol Ward Clerkshp-CSC","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"949
AdultCarDiseaseClerk-Mshfld","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950
Cardiol-Clin Clerk-LaCrosse","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"952","014","","30","3.367","16.7","40.0","43.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"952","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"952","017","","7","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cl Electrocardiography-CSC","Course Total","","40","3.400","15.0","50.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"953","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dermatology Clerkship-CSC","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"956
Emergency Med Clerkshp-Milw","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"957","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"957","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"957","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"957","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Emergency Med Clrk-Meriter","Course Total","","5","***","","","","","","","","","","","","","","","",""
"960","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
