"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"","699
017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","812
041","","10","3.400","40.0",".","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
042","","12","3.792","75.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","043
812","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","044
812","","14","3.714","64.3","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
045","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
046","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","62","3.758","72.6","8.1","17.7","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","910
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","910
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","2","***","","","","","","","","","","","","","","","",""
"PsychophmcRsch&Prac-CSC/VAH","911
044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","922
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","924
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","924
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-Mendota","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Community Psy Clerk-CSC/MHC","925
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PSYCHIAT
814","Dept. Total","","73","3.779","75.3","6.8","16.4","1.4",".",".",".",".",".",".",".",".",".",".",".","."
