"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Intro to Survey Research","544","001","","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Blacks in Cities","577","001","","31","2.758","12.9","9.7","22.6","32.3","19.4","3.2",".",".",".",".",".",".",".",".",".","."
"Rur Minority Grp&Povrty-U S","578","001","","13","3.000","23.1","15.4","7.7","30.8","15.4",".",".","7.7",".",".",".",".",".",".",".","."
"Agriculture,Technol&Society","612","001","","8","3.483","50.0","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Social Ecol of Amazon Basin","613","001","","24","3.396","33.3","29.2","25.0","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"Soc Structrs-Muslim Society","614","001","","28","3.173","10.7","32.1","32.1","14.3","3.6",".",".","3.6",".",".",".",".",".","3.6",".","."
"Sociology of Religion","615","001","","26","3.208","26.9","23.1","26.9","7.7","3.8",".","3.8","7.7",".",".",".",".",".",".",".","."
"Gender, Society & Politics","623","001","","18","3.281","38.9","16.7","16.7","11.1",".",".","5.6",".",".",".",".",".",".","11.1",".","."
"Political Sociology","624","001","","18","3.333","22.2","38.9","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Compar IR-Devel Countries I","628","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sociology of Organizations","632","001","","30","3.250","30.0","16.7","26.7","10.0","10.0",".",".",".",".",".",".",".",".","6.7",".","."
"Sociology of Law","641","001","","89","3.554","47.2","29.2","11.2","5.6","2.2",".","1.1",".",".",".",".",".","2.2","1.1",".","."
"Economic Sociology II","652","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Pract-Analysis & Research","693","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","21","3.772","81.0","4.8","4.8",".","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"","699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","090","","13","3.657","92.3",".",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","","44","3.772","84.1","6.8","2.3",".","2.3",".","2.3",".",".",".",".",".","2.3",".",".","."
"Survey Methods-Social Rsch","751","001","","23","3.696","52.2","34.8","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Qualitative Resch","755","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Math Sociology","759","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Soc Theory","773","001","","21","3.714","52.4","38.1","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Contemporary Theory","774","001","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"Special Topics","875","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","901","001","","10","4.000","10.0",".",".",".",".",".",".","90.0",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 294 of 385",""
