"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","",""
"PHYSICAL THERAPY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"745
PHY THER","","","","","","","","","","","","","","","","","","",""
"Principles-Pro Practice&Adm","512
001","41","3.817","70.7","22.0","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Agents in Rehab","521
001","40","3.688","47.5","42.5","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin-Therapeutic Exercise","534
001","40","3.564","27.5","55.0","15.0",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"","539
001","20","",".",".",".",".",".",".",".",".",".","95.0",".",".",".",".",".","."
"","539
002","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Smr-Professional Issues II","Course Total","40","",".",".",".",".",".",".",".",".",".","97.5",".",".",".",".",".","."
"","541
001","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","541
002","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Smr-Professional Issues IV","Course Total","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Neuromusculoskeletal Movmnt","627
001","40","3.538","40.0","27.5","32.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adults-Motor Cont Dysfunctn","636
001","41","3.683","43.9","48.8","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Issues-Rehabilitatn","641
001","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Research Practicum","642
001","14","",".",".",".",".",".",".",".",".",".","92.9",".",".",".",".",".","."
"Musc-skel Assessmt/Treatmt","677
001","41","3.659","46.3","39.0","14.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","799
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PHY THER
745","Dept. Total","361","3.654","31.0","26.3","9.7",".",".",".",".",".",".","32.1",".",".","0.3",".",".","."
